Year,NOC,participants
1932,GUA,1
1932,HAI,3
1932,HUN,118
1932,IND,26
1932,IRL,18
1932,ITA,154
1932,JPN,203
1932,LAT,13
1932,LUX,11
1932,MEX,100
1932,MON,1
1932,NED,80
1932,NOR,8
1932,NZL,29
1932,PER,3
1932,PHI,8
1932,POL,71
1932,POR,8
1932,ROU,2
1932,RSA,20
1932,SRB,1
1932,SUI,9
1932,SWE,128
1932,TUR,2
1932,URU,6
1932,USA,743
1932,VEN,1
1936,AFG,16
1936,ARG,68
1936,AUS,39
1936,AUT,363
1936,BEL,205
1936,BER,9
1936,BOL,2
1936,BRA,94
1936,BUL,85
1936,CAN,167
1936,CHI,56
1936,CHN,65
1936,COL,6
1936,CRC,1
1936,CZE,293
1936,DEN,173
1936,EGY,66
1936,EST,36
1936,FIN,186
1936,FRA,303
1936,GBR,250
1936,GER,581
1936,GRE,64
1936,HUN,335
1936,IND,30
1936,ISL,13
1936,ITA,349
1936,JPN,325
1936,LAT,33
1936,LIE,8
1936,LUX,129
1936,MEX,32
1936,MLT,11
1936,MON,11
1936,NED,227
1936,NOR,84
1936,NZL,9
1936,PER,46
1936,PHI,40
1936,POL,177
1936,POR,26
1936,ROU,118
1936,RSA,54
1936,SRB,173
1936,SUI,328
1936,SWE,231
1936,TUR,62
1936,URU,40
1936,USA,487
1948,AFG,25
1948,ARG,295
1948,AUS,103
1948,AUT,239
1948,BEL,182
1948,BER,28
1948,BRA,105
1948,CAN,188
1948,CHI,72
1948,CHN,33
1948,COL,11
1948,CUB,112
1948,CZE,153
1948,DEN,253
1948,EGY,166
1948,ESP,84
1948,FIN,215
1948,FRA,433
1948,GBR,590
1948,GRE,97
1948,GUY,7
1948,HUN,222
1948,IND,89
1948,IRI,39
1948,IRL,83
1948,IRQ,13
1948,ISL,27
1948,ITA,310
1948,JAM,26
1948,KOR,48
1948,LIB,9
1948,LIE,2
1948,LUX,115
1948,MEX,149
1948,MLT,1
1948,MON,4
1948,MYA,5
1948,NED,187
1948,NOR,97
1948,NZL,8
1948,PAK,44
1948,PAN,2
1948,PER,49
1948,PHI,31
1948,POL,52
1948,POR,65
1948,PUR,9
1948,RSA,43
1948,SGP,1
1948,SRB,162
1948,SRI,10
1948,SUI,287
1948,SWE,223
1948,SYR,1
1948,TTO,9
1948,TUR,87
1948,URU,79
1948,USA,424
1948,VEN,2
1952,AHO,11
1952,ARG,174
1952,AUS,140
1952,AUT,238
1952,BAH,7
1952,BEL,184
1952,BER,12
1952,BRA,119
1952,BUL,179
1952,CAN,154
1952,CHI,82
1952,CHN,1
1952,CUB,57
1952,CZE,218
1952,DEN,201
1952,EGY,196
1952,ESP,42
1952,FIN,412
1952,FRA,408
1952,GBR,401
1952,GER,365
1952,GHA,9
1952,GRE,54
1952,GUA,35
1952,GUY,1
1952,HKG,9
1952,HUN,345
1952,INA,3
1952,IND,94
1952,IRI,23
1952,IRL,25
1952,ISL,18
1952,ISR,31
1952,ITA,376
1952,JAM,16
1952,JPN,133
1952,KOR,22
1952,LIB,9
1952,LIE,2
1952,LUX,101
1952,MEX,85
1952,MON,10
1952,MYA,5
1952,NED,180
1952,NGR,15
1952,NOR,190
1952,NZL,20
1952,PAK,51
1952,PAN,1
1952,PHI,28
1952,POL,248
1952,POR,155
1952,PUR,23
1952,ROU,241
1952,RSA,109
1952,RUS,451
1952,SAA,93
1952,SGP,7
1952,SRB,194
1952,SRI,7
1952,SUI,251
1952,SWE,355
1952,THA,15
1952,TTO,2
1952,TUR,58
1952,URU,42
1952,USA,451
1952,VEN,63
1952,VNM,13
1956,AFG,12
1956,ARG,44
1956,AUS,412
1956,AUT,57
1956,BAH,5
1956,BEL,82
1956,BER,3
1956,BRA,63
1956,BUL,82
1956,CAM,2
1956,CAN,150
1956,CHI,43
1956,COL,47
1956,CUB,24
1956,CZE,161
1956,DEN,51
1956,EGY,6
1956,ESP,12
1956,ETH,30
1956,FIJ,5
1956,FIN,147
1956,FRA,227
1956,GBR,283
1956,GER,261
1956,GRE,16
1956,GUY,6
1956,HKG,4
1956,HUN,197
1956,INA,24
1956,IND,79
1956,IRI,17
1956,IRL,25
1956,ISL,2
1956,ISR,3
1956,ITA,207
1956,JAM,13
1956,JPN,222
1956,KEN,33
1956,KOR,36
1956,LBR,11
1956,LUX,27
1956,MAL,34
1956,MEX,36
1956,MYA,12
1956,NED,1
1956,NGR,14
1956,NOR,29
1956,NZL,57
1956,PAK,79
1956,PER,10
1956,PHI,48
1956,POL,118
1956,POR,18
1956,PUR,14
1956,ROU,103
1956,RSA,90
1956,RUS,411
1956,SGP,52
1956,SRB,37
1956,SRI,3
1956,SUI,18
1956,SWE,186
1956,THA,40
1956,TPE,23
1956,TTO,10
1956,TUR,28
1956,UGA,5
1956,URU,29
1956,USA,443
1956,VEN,38
1956,VNM,10
1960,AFG,16
1960,AHO,5
1960,ARG,116
1960,AUS,280
1960,AUT,198
1960,BAH,14
1960,BEL,150
1960,BER,9
1960,BRA,86
1960,BUL,183
1960,CAN,140
1960,CHI,9
1960,COL,23
1960,CUB,21
1960,CZE,202
1960,DEN,109
1960,ESP,238
1960,ETH,15
1960,FIJ,3
1960,FIN,219
1960,FRA,363
1960,GBR,389
1960,GER,425
1960,GHA,15
1960,GRE,59
1960,GUY,6
1960,HAI,1
1960,HKG,4
1960,HUN,312
1960,INA,27
1960,IND,49
1960,IRI,24
1960,IRL,63
1960,IRQ,28
1960,ISL,11
1960,ISR,46
1960,ITA,402
1960,JPN,278
1960,KEN,30
1960,KOR,49
1960,LBR,6
1960,LIB,22
1960,LIE,8
1960,LUX,117
1960,MAL,11
1960,MAR,111
1960,MEX,110
1960,MLT,13
1960,MON,13
1960,MYA,10
1960,NED,160
1960,NGR,15
1960,NOR,50
1960,NZL,47
1960,PAK,53
1960,PAN,8
1960,PER,33
1960,PHI,49
1960,POL,307
1960,POR,109
1960,PUR,29
1960,RHO,12
1960,ROU,156
1960,RSA,72
1960,RUS,414
1960,SGP,5
1960,SMR,13
1960,SRB,185
1960,SRI,5
1960,SUD,13
1960,SUI,221
1960,SWE,258
1960,THA,24
1960,TPE,31
1960,TUN,56
1960,TUR,58
1960,UAR,123
1960,UGA,16
1960,URU,42
1960,USA,448
1960,VEN,54
1960,VNM,5
1960,ZIM,10
1964,AFG,8
1964,AHO,4
1964,ALG,7
1964,ARG,148
1964,AUS,392
1964,AUT,82
1964,BAH,12
1964,BEL,74
1964,BER,4
1964,BOL,1
1964,BRA,65
1964,BUL,116
1964,CAM,15
1964,CAN,194
1964,CGO,2
1964,CHA,2
1964,CHI,16
1964,CIV,10
1964,CMR,2
1964,COL,40
1964,CRC,2
1964,CUB,76
1964,CZE,187
1964,DEN,71
1964,DOM,1
1964,EGY,83
1964,ESP,67
1964,ETH,19
1964,FIN,151
1964,FRA,214
1964,GBR,301
1964,GER,478
1964,GHA,40
1964,GRE,19
1964,GUY,1
1964,HKG,50
1964,HUN,319
1964,IND,111
1964,IRI,96
1964,IRL,35
1964,IRQ,19
1964,ISL,5
1964,ISR,13
1964,ITA,256
1964,JAM,32
1964,JPN,456
1964,KEN,41
1964,KOR,240
1964,LBR,2
1964,LIB,8
1964,LIE,3
1964,LUX,27
1964,MAD,4
1964,MAR,21
1964,MAS,81
1964,MEX,128
1964,MGL,40
1964,MLI,2
1964,MON,1
1964,MYA,12
1964,NED,158
1964,NEP,6
1964,NGR,19
1964,NIG,1
1964,NOR,43
1964,NZL,88
1964,PAK,47
1964,PAN,15
1964,PER,40
1964,PHI,70
1964,POL,240
1964,POR,25
1964,PUR,45
1964,ROU,232
1964,RUS,463
1964,SEN,14
1964,SRB,123
1964,SRI,7
1964,SUI,129
1964,SWE,175
1964,TAN,4
1964,THA,67
1964,TPE,96
1964,TTO,18
1964,TUN,12
1964,TUR,25
1964,UGA,19
1964,URU,29
1964,USA,492
1964,VEN,23
1964,VNM,23
1964,ZAM,15
1964,ZIM,33
1968,AFG,5
1968,AHO,5
1968,ALG,9
1968,ARG,132
1968,AUS,224
1968,AUT,59
1968,BAH,22
1968,BAR,13
1968,BEL,106
1968,BER,6
1968,BIZ,7
1968,BOL,4
1968,BRA,89
1968,BUL,189
1968,CAF,1
1968,CAN,291
1968,CHA,4
1968,CHI,25
1968,CIV,11
1968,CMR,5
1968,COD,8
1968,COL,70
1968,CRC,27
1968,CUB,227
1968,CZE,203
1968,DEN,93
1968,DOM,24
1968,ECU,41
1968,EGY,35
1968,ESA,104
1968,ESP,137
1968,ETH,26
1968,FIJ,1
1968,FIN,126
1968,FRA,311
1968,GBR,328
1968,GER,778
1968,GHA,36
1968,GRE,44
1968,GUA,67
1968,GUI,15
1968,GUY,6
1968,HKG,25
1968,HON,6
1968,HUN,303
1968,INA,6
1968,IND,27
1968,IRI,14
1968,IRL,57
1968,IRQ,4
1968,ISL,16
1968,ISR,39
1968,ISV,6
1968,ITA,268
1968,JAM,35
1968,JPN,289
1968,KEN,50
1968,KOR,66
1968,KUW,2
1968,LBA,1
1968,LIB,15
1968,LIE,3
1968,LUX,7
1968,MAD,6
1968,MAR,25
1968,MAS,35
1968,MEX,446
1968,MGL,38
1968,MLI,2
1968,MLT,1
1968,MON,2
1968,MYA,4
1968,NCA,16
1968,NED,140
1968,NGR,46
1968,NIG,2
1968,NOR,86
1968,NZL,65
1968,PAK,15
1968,PAN,16
1968,PAR,1
1968,PER,33
1968,PHI,89
1968,POL,296
1968,POR,33
1968,PUR,99
1968,ROU,100
1968,RUS,471
1968,SEN,24
1968,SGP,6
1968,SLE,4
1968,SMR,4
1968,SRB,130
1968,SRI,3
1968,SUD,7
1968,SUI,155
1968,SUR,1
1968,SWE,186
1968,SYR,2
1968,TAN,5
1968,THA,46
1968,TPE,93
1968,TTO,25
1968,TUN,8
1968,TUR,30
1968,UGA,14
1968,URU,50
1968,USA,529
1968,VEN,30
1968,VNM,9
1968,ZAM,7
1972,AFG,8
1972,AHO,2
1972,ALB,5
1972,ALG,7
1972,ARG,123
1972,AUS,266
1972,AUT,143
1972,BAH,25
1972,BAR,20
1972,BEL,106
1972,BEN,3
1972,BER,9
1972,BIZ,2
1972,BOL,14
1972,BRA,104
1972,BUL,226
1972,BUR,1
1972,CAM,17
1972,CAN,344
1972,CGO,8
1972,CHA,5
1972,CHI,13
1972,CIV,13
1972,CMR,18
1972,COL,75
1972,CRC,4
1972,CUB,201
1972,CZE,274
1972,DEN,155
1972,DOM,5
1972,ECU,4
1972,EGY,26
1972,ESA,18
1972,ESP,162
1972,ETH,40
1972,FIJ,4
1972,FIN,133
1972,FRA,356
1972,GAB,1
1972,GBR,433
1972,GER,1041
1972,GHA,41
1972,GRE,66
1972,GUA,11
1972,GUY,4
1972,HAI,7
1972,HKG,18
1972,HUN,367
1972,INA,7
1972,IND,43
1972,IRI,56
1972,IRL,84
1972,ISL,30
1972,ISR,17
1972,ISV,16
1972,ITA,345
1972,JAM,51
1972,JPN,293
1972,KEN,69
1972,KOR,43
1972,KSA,14
1972,KUW,4
1972,LBR,5
1972,LES,2
1972,LIB,36
1972,LIE,12
1972,LUX,15
1972,MAD,13
1972,MAR,39
1972,MAS,57
1972,MAW,18
1972,MEX,281
1972,MGL,44
1972,MLI,3
1972,MLT,5
1972,MON,5
1972,MYA,19
1972,NCA,10
1972,NED,199
1972,NEP,2
1972,NGR,36
1972,NIG,4
1972,NOR,161
1972,NZL,112
1972,PAK,26
1972,PAN,8
1972,PAR,3
1972,PER,31
1972,PHI,79
1972,POL,418
1972,POR,41
1972,PRK,83
1972,PUR,60
1972,ROU,258
1972,RUS,531
1972,SEN,40
1972,SGP,12
1972,SMR,7
1972,SOM,4
1972,SRB,212
1972,SRI,6
1972,SUD,31
1972,SUI,265
1972,SUR,3
1972,SWE,186
1972,SWZ,4
1972,SYR,5
1972,TAN,22
1972,THA,37
1972,TOG,7
1972,TPE,44
1972,TTO,36
1972,TUN,37
1972,TUR,50
1972,UGA,35
1972,URU,20
1972,USA,578
1972,VEN,33
1972,VNM,2
1972,ZAM,12
1976,AHO,4
1976,AND,3
1976,ANT,17
1976,ARG,106
1976,AUS,274
1976,AUT,73
1976,BAH,19
1976,BAR,17
1976,BEL,149
1976,BER,20
1976,BIZ,4
1976,BOL,5
1976,BRA,89
1976,BUL,254
1976,CAN,531
1976,CAY,2
1976,CHI,9
1976,CIV,11
1976,CMR,4
1976,COL,44
1976,CRC,10
1976,CUB,194
1976,CZE,251
1976,DEN,81
1976,DOM,11
1976,ECU,8
1976,EGY,26
1976,ESP,160
1976,FIJ,5
1976,FIN,108
1976,FRA,302
1976,GBR,353
1976,GER,859
1976,GRE,40
1976,GUA,28
1976,HAI,14
1976,HKG,50
1976,HON,3
1976,HUN,288
1976,INA,11
1976,IND,26
1976,IRI,104
1976,IRL,59
1976,ISL,22
1976,ISR,34
1976,ISV,26
1976,ITA,312
1976,JAM,36
1976,JPN,328
1976,KOR,51
1976,KSA,19
1976,KUW,21
1976,LIB,4
1976,LIE,9
1976,LUX,9
1976,MAR,9
1976,MAS,25
1976,MEX,137
1976,MGL,33
1976,MON,10
1976,NCA,25
1976,NED,175
1976,NEP,1
1976,NOR,79
1976,NZL,98
1976,PAK,24
1976,PAN,13
1976,PAR,6
1976,PER,14
1976,PHI,22
1976,PNG,9
1976,POL,286
1976,POR,36
1976,PRK,40
1976,PUR,112
1976,ROU,255
1976,RUS,574
1976,SEN,33
1976,SGP,4
1976,SMR,10
1976,SRB,95
1976,SUI,101
1976,SUR,4
1976,SWE,163
1976,THA,62
1976,TTO,20
1976,TUN,16
1976,TUR,28
1976,URU,15
1976,USA,554
1976,VEN,56
1980,AFG,11
1980,ALG,63
1980,AND,2
1980,ANG,17
1980,AUS,190
1980,AUT,92
1980,BEL,84
1980,BEN,17
1980,BOT,8
1980,BRA,149
1980,BUL,397
1980,CGO,25
1980,CMR,29
1980,COL,28
1980,CRC,37
1980,CUB,288
1980,CYP,15
1980,CZE,317
1980,DEN,60
1980,DOM,7
1980,ECU,16
1980,ESP,211
1980,ETH,48
1980,FIN,125
1980,FRA,200
1980,GBR,328
1980,GER,495
1980,GRE,45
1980,GUA,10
1980,GUI,10
1980,GUY,10
1980,HUN,392
1980,IND,78
1980,IRL,57
1980,IRQ,44
1980,ISL,12
1980,ITA,203
1980,JAM,32
1980,JOR,6
1980,KUW,67
1980,LAO,19
1980,LBA,38
1980,LES,7
1980,LIB,19
1980,LUX,4
1980,MAD,18
1980,MEX,74
1980,MGL,57
1980,MLI,7
1980,MLT,12
1980,MOZ,16
1980,MYA,2
1980,NCA,6
1980,NED,112
1980,NEP,10
1980,NGR,56
1980,NZL,7
1980,PER,38
1980,POL,418
1980,POR,18
1980,PRK,121
1980,PUR,3
1980,ROU,339
1980,RUS,660
1980,SEN,39
1980,SEY,21
1980,SLE,32
1980,SMR,16
1980,SRB,180
1980,SRI,4
1980,SUI,86
1980,SWE,201
1980,SYR,71
1980,TAN,48
1980,TTO,15
1980,UGA,16
1980,VEN,43
1980,VIE,38
1980,ZAM,43
1980,ZIM,52
1984,AHO,13
1984,ALG,33
1984,AND,2
1984,ANT,27
1984,ARG,115
1984,AUS,337
1984,AUT,130
1984,BAH,31
1984,BAN,2
1984,BAR,25
1984,BEL,86
1984,BEN,3
1984,BER,13
1984,BHU,6
1984,BIZ,13
1984,BOL,13
1984,BOT,8
1984,BRA,197
1984,BRN,14
1984,CAF,3
1984,CAN,572
1984,CAY,14
1984,CGO,13
1984,CHA,3
1984,CHI,64
1984,CHN,323
1984,CIV,18
1984,CMR,56
1984,COD,9
1984,COL,48
1984,CRC,32
1984,CYP,12
1984,DEN,74
1984,DJI,3
1984,DOM,24
1984,ECU,15
1984,EGY,148
1984,ESA,15
1984,ESP,257
1984,FIJ,26
1984,FIN,107
1984,FRA,354
1984,GAB,4
1984,GAM,16
1984,GBR,509
1984,GEQ,5
1984,GER,571
1984,GHA,27
1984,GRE,73
1984,GRN,6
1984,GUA,53
1984,GUI,1
1984,GUY,12
1984,HAI,3
1984,HKG,87
1984,HON,26
1984,INA,23
1984,IND,53
1984,IRL,55
1984,IRQ,25
1984,ISL,35
1984,ISR,65
1984,ISV,52
1984,ITA,368
1984,IVB,13
1984,JAM,75
1984,JOR,15
1984,JPN,365
1984,KEN,67
1984,KOR,240
1984,KSA,42
1984,KUW,31
1984,LBR,10
1984,LES,5
1984,LIB,30
1984,LIE,8
1984,LUX,5
1984,MAD,5
1984,MAR,35
1984,MAS,27
1984,MAW,23
1984,MEX,155
1984,MLI,5
1984,MLT,7
1984,MON,8
1984,MOZ,14
1984,MRI,7
1984,MTN,2
1984,MYA,1
1984,NCA,5
1984,NED,185
1984,NEP,10
1984,NGR,36
1984,NIG,4
1984,NOR,132
1984,NZL,162
1984,OMA,22
1984,PAK,33
1984,PAN,10
1984,PAR,18
1984,PER,44
1984,PHI,32
1984,PNG,12
1984,POR,48
1984,PUR,58
1984,QAT,26
1984,ROU,193
1984,RWA,6
1984,SAM,9
1984,SEN,29
1984,SEY,15
1984,SGP,14
1984,SLE,10
1984,SMR,31
1984,SOL,3
1984,SOM,9
1984,SRB,154
1984,SRI,6
1984,SUD,9
1984,SUI,245
1984,SUR,7
1984,SWE,254
1984,SWZ,11
1984,SYR,9
1984,TAN,21
1984,TGA,7
1984,THA,40
1984,TOG,6
1984,TPE,52
1984,TTO,23
1984,TUN,28
1984,TUR,62
1984,UAE,11
1984,UGA,30
1984,URU,23
1984,USA,693
1984,VEN,44
1984,YAR,3
1984,ZAM,18
1984,ZIM,20
1988,AFG,5
1988,AHO,4
1988,ALG,45
1988,AND,4
1988,ANG,33
1988,ANT,25
1988,ARG,134
1988,ARU,12
1988,ASA,6
1988,AUS,339
1988,AUT,96
1988,BAH,18
1988,BAN,11
1988,BAR,26
1988,BEL,85
1988,BEN,10
1988,BER,14
1988,BHU,6
1988,BIZ,13
1988,BOL,12
1988,BOT,11
1988,BRA,233
1988,BRN,16
1988,BUL,281
1988,BUR,9
1988,CAF,15
1988,CAN,503
1988,CAY,12
1988,CGO,10
1988,CHA,6
1988,CHI,23
1988,CHN,427
1988,CIV,29
1988,CMR,21
1988,COD,21
1988,COK,8
1988,COL,57
1988,CRC,33
1988,CYP,11
1988,CZE,226
1988,DEN,130
1988,DJI,6
1988,DOM,18
1988,ECU,15
1988,EGY,59
1988,ESA,7
1988,ESP,317
1988,FIJ,41
1988,FIN,101
1988,FRA,413
1988,GAB,2
1988,GAM,6
1988,GBR,472
1988,GEQ,7
1988,GER,918
1988,GHA,21
1988,GRE,72
1988,GRN,7
1988,GUA,37
1988,GUI,7
1988,GUM,26
1988,GUY,8
1988,HAI,5
1988,HKG,91
1988,HON,18
1988,HUN,315
1988,INA,43
1988,IND,55
1988,IRI,26
1988,IRL,78
1988,IRQ,28
1988,ISL,42
1988,ISR,29
1988,ISV,46
1988,ITA,374
1988,IVB,4
1988,JAM,49
1988,JOR,9
1988,JPN,412
1988,KEN,88
1988,KOR,551
1988,KSA,13
1988,KUW,34
1988,LAO,3
1988,LBA,7
1988,LBR,11
1988,LES,6
1988,LIB,31
1988,LIE,16
1988,LUX,11
1988,MAR,29
1988,MAS,17
1988,MAW,22
1988,MDV,9
1988,MEX,144
1988,MGL,32
1988,MLI,8
1988,MLT,6
1988,MON,9
1988,MOZ,12
1988,MRI,11
1988,MTN,7
1988,MYA,3
1988,NED,202
1988,NEP,20
1988,NGR,86
1988,NIG,6
1988,NOR,79
1988,NZL,112
1988,OMA,13
1988,PAK,33
1988,PAN,9
1988,PAR,13
1988,PER,26
1988,PHI,42
1988,PNG,15
1988,POL,192
1988,POR,91
1988,PUR,56
1988,QAT,13
1988,ROU,172
1988,RUS,647
1988,RWA,8
1988,SAM,11
1988,SEN,35
1988,SGP,27
1988,SLE,20
1988,SMR,15
1988,SOL,5
1988,SOM,5
1988,SRB,183
1988,SRI,9
1988,SUD,8
1988,SUI,151
1988,SUR,10
1988,SWE,251
1988,SWZ,15
1988,SYR,13
1988,TAN,10
1988,TGA,7
1988,THA,15
1988,TOG,6
1988,TPE,123
1988,TTO,10
1988,TUN,45
1988,TUR,51
1988,UAE,36
1988,UGA,30
1988,URU,18
1988,USA,715
1988,VAN,6
1988,VEN,17
1988,VIE,12
1988,VIN,6
1988,YAR,8
1988,YMD,5
1988,ZAM,33
1988,ZIM,47
1992,AHO,4
1992,ALB,9
1992,ALG,36
1992,AND,8
1992,ANG,33
1992,ANT,18
1992,ARG,111
1992,ARU,5
1992,ASA,3
1992,AUS,390
1992,AUT,127
1992,BAH,18
1992,BAN,9
1992,BAR,22
1992,BEL,103
1992,BEN,7
1992,BER,29
1992,BHU,12
1992,BIH,13
1992,BIZ,18
1992,BOL,21
1992,BOT,6
1992,BRA,233
1992,BRN,15
1992,BUL,236
1992,BUR,4
1992,CAF,21
1992,CAN,445
1992,CAY,13
1992,CGO,10
1992,CHA,7
1992,CHI,15
1992,CHN,394
1992,CIV,18
1992,CMR,12
1992,COD,19
1992,COK,2
1992,COL,61
1992,CRC,20
1992,CRO,46
1992,CUB,196
1992,CYP,19
1992,CZE,269
1992,DEN,144
1992,DJI,8
1992,DOM,32
1992,ECU,15
1992,EGY,83
1992,ESA,6
1992,ESP,537
1992,EST,46
1992,ETH,24
1992,FIJ,36
1992,FIN,130
1992,FRA,486
1992,GAB,5
1992,GAM,8
1992,GBR,512
1992,GEQ,8
1992,GER,653
1992,GHA,41
1992,GRE,76
1992,GRN,5
1992,GUA,41
1992,GUI,11
1992,GUM,45
1992,GUY,7
1992,HAI,8
1992,HKG,66
1992,HON,27
1992,HUN,351
1992,INA,51
1992,IND,61
1992,IOA,76
1992,IRI,44
1992,IRL,77
1992,IRQ,8
1992,ISL,31
1992,ISR,44
1992,ISV,34
1992,ITA,431
1992,IVB,4
1992,JAM,51
1992,JOR,5
1992,JPN,392
1992,KEN,55
1992,KOR,322
1992,KSA,17
1992,KUW,37
1992,LAO,7
1992,LAT,40
1992,LBA,5
1992,LES,8
1992,LIB,18
1992,LIE,8
1992,LTU,54
1992,LUX,8
1992,MAD,17
1992,MAR,45
1992,MAS,30
1992,MAW,4
1992,MDV,10
1992,MEX,140
1992,MGL,38
1992,MLI,6
1992,MLT,8
1992,MON,4
1992,MOZ,7
1992,MRI,22
1992,MTN,6
1992,MYA,5
1992,NAM,10
1992,NCA,9
1992,NED,257
1992,NEP,2
1992,NGR,72
1992,NIG,3
1992,NOR,114
1992,NZL,175
1992,OMA,5
1992,PAK,28
1992,PAN,7
1992,PAR,31
1992,PER,21
1992,PHI,38
1992,PNG,19
1992,POL,263
1992,POR,115
1992,PRK,123
1992,PUR,101
1992,QAT,30
1992,ROU,306
1992,RSA,141
1992,RUS,650
1992,RWA,10
1992,SAM,5
1992,SEN,25
1992,SEY,21
1992,SGP,37
1992,SLE,15
1992,SLO,47
1992,SMR,20
1992,SOL,1
1992,SRI,16
1992,SUD,7
1992,SUI,171
1992,SUR,9
1992,SWE,252
1992,SWZ,10
1992,SYR,9
1992,TAN,9
1992,TGA,5
1992,THA,64
