,Year,RNOC,Participants,Rank,NOC,Gold,Silver,Bronze,Total,TSport,Tevent,man_sum,team_event_count,Aquatics,Archery,Athletics,Badminton,Baseball and Softball,Basketball,Basque Pelota,Boxing,Breaking,Canoeing,Cricket,Croquet,Cycling,Equestrian,Fencing,Field hockey,Football,Golf,Gymnastics,Handball,Jeu de Paume,Judo,Karate,Lacrosse,Modern Pentathlon,Polo,Rackets,Roque,Rowing,Rugby,Sailing,Shooting,Skateboarding,Sport Climbing,Surfing,Table Tennis,Taekwondo,Tennis,Triathlon,Tug of War,Volleyball,Water Motorsports,Weightlifting,Wrestling,menPropotion
10,1900,NED,73,17,Netherlands,0,2,3,5,20,97,73,8,4,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,9,35,0,0,0,0,0,0,0,0,0,0,0,0,1.0
11,1900,NOR,29,17,Norway,0,2,3,5,20,97,29,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1.0
12,1900,SUI,52,6,Switzerland,6,2,1,9,20,97,49,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,36,0,0,0,0,0,0,0,0,0,0,0,0,0.9423076923076923
13,1900,SWE,27,21,Sweden,0,0,1,1,20,97,27,1,3,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1.0
14,1900,USA,135,2,United States,19,14,15,48,20,97,126,7,2,0,91,0,0,0,0,0,0,0,0,0,2,0,3,0,0,9,0,0,0,0,0,0,0,4,0,0,9,1,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0.9333333333333333
15,1904,AUT,7,8,Austria,1,1,1,3,16,95,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
16,1904,CAN,61,3,Canada,4,1,1,6,16,95,61,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,24,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0
17,1904,CUB,6,4,Cuba,3,0,0,3,16,95,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
18,1904,FRA,2,13,France,0,1,0,1,16,95,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
19,1904,GRE,17,11,Greece,1,0,1,2,16,95,17,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1.0
20,1904,NOR,6,7,Norway,2,0,0,2,16,95,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0
21,1904,USA,1109,1,United States,76,78,77,231,16,95,1093,16,67,70,158,0,0,0,0,24,0,0,0,0,60,0,20,0,23,100,416,0,0,0,0,12,0,0,0,4,37,0,0,0,0,0,0,0,0,55,0,19,0,0,4,40,0.9855725879170424
22,1908,ANZ,48,11,Australasia,1,2,2,5,22,110,48,2,14,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1.0
23,1908,AUT,13,19,Austria,0,0,1,1,22,110,13,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1.0
24,1908,BEL,99,10,Belgium,1,5,2,8,22,110,99,8,15,0,10,0,0,0,0,0,0,0,0,0,12,0,27,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,3,16,0,0,0,0,0,0,0,0,0,0,0,4,1.0
25,1908,BOH,41,17,Bohemia,0,0,2,2,22,110,41,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,1.0
26,1908,CAN,148,7,Canada,3,3,10,16,22,110,148,10,3,0,52,0,0,0,0,0,0,0,0,0,24,0,1,0,0,0,2,0,0,0,0,12,0,0,0,0,17,0,0,31,0,0,0,0,0,5,0,0,0,0,0,1,1.0
27,1908,DEN,107,16,Denmark,0,2,3,5,22,110,107,6,11,0,13,0,0,0,0,2,0,0,0,0,0,0,14,0,13,0,24,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,11,1.0
28,1908,FIN,94,13,Finland,1,1,3,5,22,110,94,2,8,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,4,1.0
29,1908,FRA,319,4,France,5,5,9,19,22,110,319,13,4,25,35,0,0,0,0,7,0,0,0,0,65,0,33,12,22,0,59,0,0,0,0,0,0,0,0,0,0,0,3,52,0,0,0,0,0,1,0,0,0,1,0,0,1.0
30,1908,GBR,960,1,Great Britain,56,51,39,146,22,110,923,33,62,50,186,0,0,0,0,32,0,0,0,0,68,0,32,45,11,0,65,0,9,0,0,12,0,12,12,0,32,15,40,131,0,0,0,0,0,38,0,24,0,16,0,68,0.9614583333333333
31,1908,GRE,49,15,Greece,0,3,1,4,22,110,49,3,0,0,24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1.0
32,1908,HUN,107,6,Hungary,3,4,2,9,22,110,107,5,16,0,43,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,6,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,5,0,0,0,0,0,8,1.0
33,1908,ITA,97,9,Italy,2,2,0,4,22,110,97,4,7,0,22,0,0,0,0,0,0,0,0,0,9,0,25,0,0,0,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0
34,1908,NED,218,17,Netherlands,0,0,2,2,22,110,218,13,14,0,53,0,0,0,0,0,0,0,0,0,25,0,27,0,12,0,39,0,0,0,0,0,0,0,0,0,4,0,0,31,0,0,0,0,0,4,0,0,0,0,0,9,1.0
35,1908,NOR,103,8,Norway,2,3,3,8,22,110,103,5,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38,0,0,0,0,0,0,0,0,0,9,0,5,27,0,0,0,0,0,0,0,0,0,0,0,1,1.0
36,1908,RSA,33,14,South Africa,1,1,0,2,22,110,33,2,0,0,9,0,0,0,0,0,0,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1.0
37,1908,SWE,272,3,Sweden,8,6,11,25,22,110,270,17,38,0,66,0,0,0,0,0,0,0,0,0,8,0,11,0,14,0,38,0,0,0,0,0,0,0,0,0,0,0,13,60,0,0,0,0,0,6,0,8,0,0,0,10,0.9926470588235294
38,1908,USA,218,2,United States,23,12,12,47,22,110,218,6,18,2,143,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,8,0,0,0,6,1.0
39,1912,ANZ,38,12,Australasia,2,2,3,7,14,102,36,2,20,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9473684210526315
40,1912,AUT,132,17,Austria,0,2,2,4,14,102,122,9,22,0,27,0,0,0,0,0,0,0,0,0,12,0,21,0,15,0,0,0,0,0,0,0,1,0,0,0,6,0,0,15,0,0,0,0,0,5,0,0,0,0,0,8,0.9242424242424242
41,1912,BEL,71,13,Belgium,2,1,3,6,14,102,70,6,15,0,3,0,0,0,0,0,0,0,0,0,1,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9859154929577465
42,1912,CAN,59,9,Canada,3,2,3,8,14,102,59,3,5,0,39,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1.0
43,1912,DEN,233,14,Denmark,1,6,5,12,14,102,231,16,2,0,21,0,0,0,0,0,0,0,0,0,16,8,24,0,15,0,54,0,0,0,0,0,4,0,0,0,16,0,3,41,0,0,0,0,0,20,0,0,0,0,0,9,0.9914163090128756
44,1912,FIN,233,4,Finland,9,8,9,26,14,102,231,13,20,0,57,0,0,0,0,0,0,0,0,0,10,0,0,0,13,0,25,0,0,0,0,0,0,0,0,0,6,0,27,38,0,0,0,0,0,0,0,0,0,0,0,37,0.9914163090128756
45,1912,FRA,222,5,France,7,4,3,14,14,102,220,18,11,0,56,0,0,0,0,0,0,0,0,0,24,18,0,0,0,0,6,0,0,0,0,0,2,0,0,0,19,0,3,65,0,0,0,0,0,12,0,0,0,0,0,6,0.990990990990991
46,1912,GBR,458,3,Great Britain,10,15,16,41,14,102,441,24,43,0,111,0,0,0,0,0,0,0,0,0,52,11,41,0,14,0,29,0,0,0,0,0,3,0,0,0,24,0,0,85,0,0,0,0,0,25,0,8,0,0,0,12,0.962882096069869
47,1912,GRE,77,15,Greece,1,0,1,2,14,102,77,6,1,0,7,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,1,1.0
48,1912,HUN,207,9,Hungary,3,2,3,8,14,102,207,11,22,0,48,0,0,0,0,0,0,0,0,0,10,0,30,0,14,0,20,0,0,0,0,0,0,0,0,0,11,0,0,34,0,0,0,0,0,8,0,0,0,0,0,10,1.0
49,1912,ITA,92,11,Italy,3,1,2,6,14,102,92,3,7,0,25,0,0,0,0,0,0,0,0,0,0,0,16,0,14,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0
50,1912,NED,45,18,Netherlands,0,0,3,3,14,102,45,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,22,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1.0
51,1912,NOR,263,8,Norway,3,2,5,10,14,102,260,16,12,0,37,0,0,0,0,0,0,0,0,0,12,4,14,0,12,0,46,0,0,0,0,0,2,0,0,0,29,0,18,54,0,0,0,0,0,14,0,0,0,0,0,9,0.9885931558935361
52,1912,RSA,56,7,South Africa,4,2,0,6,14,102,56,3,1,0,13,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,5,0,0,0,0,0,0,1.0
53,1912,SWE,714,2,Sweden,23,25,17,65,14,102,676,33,82,0,183,0,0,0,0,0,0,0,0,0,24,24,28,0,14,0,24,0,0,0,0,0,12,0,0,0,33,0,41,157,0,0,0,0,0,50,0,8,0,0,0,34,0.9467787114845938
54,1912,USA,363,1,United States,26,19,19,64,14,102,363,16,21,0,183,0,0,0,0,0,0,0,0,0,18,13,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,94,0,0,0,0,0,1,0,0,0,0,0,2,1.0
55,1920,AUS,29,16,Australia,0,2,1,3,22,156,26,1,17,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.896551724137931
56,1920,BEL,503,5,Belgium,14,11,11,36,22,156,486,44,28,51,78,0,0,0,0,13,0,0,0,0,24,27,43,14,14,0,53,0,0,0,0,0,0,4,0,0,20,0,14,59,0,0,0,0,0,32,0,8,0,0,7,14,0.9662027833001988
57,1920,BRA,38,15,Brazil,1,1,1,3,22,156,38,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1.0
58,1920,CAN,77,12,Canada,3,3,3,9,22,156,77,4,10,0,22,0,0,0,0,8,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,1.0
59,1920,DEN,246,10,Denmark,3,9,1,13,22,156,239,18,6,0,35,0,0,0,0,12,0,0,0,0,12,0,30,12,11,0,45,0,0,0,0,0,4,0,0,0,1,0,0,56,0,0,0,0,0,7,0,0,0,0,5,10,0.9715447154471545
60,1920,ESP,111,17,Spain,0,2,0,2,22,156,111,13,11,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,5,0,0,0,0,0,45,0,0,0,0,0,8,0,0,0,0,0,0,1.0
61,1920,FIN,133,3,Finland,15,10,9,34,22,156,133,9,6,0,54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,1,18,1.0
62,1920,FRA,442,8,France,9,19,13,41,22,156,429,38,28,27,85,0,0,0,0,15,0,0,0,0,21,30,38,11,11,0,32,0,0,0,0,0,4,0,0,0,14,15,3,60,0,0,0,0,0,21,0,0,0,0,10,17,0.9705882352941176
63,1920,GBR,335,4,Great Britain,14,15,13,42,22,156,308,24,48,0,77,0,0,0,0,16,0,0,0,0,26,0,40,14,11,0,27,0,0,0,0,0,4,4,0,0,10,0,6,8,0,0,0,0,0,24,0,8,0,0,2,10,0.9194029850746268
64,1920,GRE,98,19,Greece,0,1,0,1,22,156,98,10,9,0,16,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,1,0,0,0,0,1,7,1.0
65,1920,ITA,289,7,Italy,13,5,5,23,22,156,287,26,20,0,45,0,0,0,0,5,0,0,0,0,20,17,47,0,21,0,32,0,0,0,0,0,1,0,0,0,6,0,0,46,0,0,0,0,0,8,0,8,0,0,5,8,0.9930795847750865
66,1920,JPN,26,17,Japan,0,2,0,2,22,156,26,1,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1.0
67,1920,LUX,35,19,Luxembourg,0,1,0,1,22,156,35,2,2,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1.0
68,1920,NED,213,9,Netherlands,4,2,5,11,22,156,212,22,13,8,18,0,0,0,0,8,0,0,0,0,24,1,36,0,14,0,0,0,0,0,0,0,0,0,0,0,12,0,8,49,0,0,0,0,0,0,0,8,0,0,5,9,0.9953051643192489
69,1920,NOR,260,6,Norway,13,9,9,31,22,156,257,22,8,0,24,0,0,0,0,14,0,0,0,0,8,9,0,0,16,0,26,0,0,0,0,0,2,0,0,0,14,0,59,68,0,0,0,0,0,5,0,0,0,0,0,7,0.9884615384615385
70,1920,RSA,97,11,South Africa,3,4,3,10,22,156,95,11,2,0,28,0,0,0,0,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,8,0,0,0,0,0,1,0.979381443298969
71,1920,SUI,117,13,Switzerland,2,2,7,11,22,156,117,14,13,0,19,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,42,0,0,0,0,0,5,0,0,0,0,2,4,1.0
72,1920,SWE,389,2,Sweden,19,20,25,64,22,156,368,30,53,0,108,0,0,0,0,0,0,0,0,0,8,30,16,0,12,0,24,0,0,0,0,0,4,0,0,0,6,0,11,79,0,0,0,0,0,17,0,0,0,0,6,15,0.9460154241645244
73,1920,TCH,174,21,Czechoslovakia,0,0,2,2,22,156,173,17,14,0,25,0,0,0,0,0,0,0,0,0,8,0,28,0,14,0,16,0,0,0,0,0,0,0,0,0,15,0,0,30,0,0,0,0,0,12,0,0,0,0,2,10,0.9942528735632183
74,1920,USA,458,1,United States,41,27,27,95,22,156,438,31,71,0,120,0,0,0,0,16,0,0,0,0,20,17,37,0,0,0,4,0,0,0,0,0,2,4,0,0,17,16,0,106,0,0,0,0,0,0,0,8,0,0,0,20,0.9563318777292577
75,1924,ARG,109,16,Argentina,1,3,2,6,17,126,109,10,6,0,16,0,0,0,0,10,0,0,0,0,14,0,24,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,6,8,0,0,0,0,0,8,0,0,0,0,3,0,1.0
76,1924,AUS,59,11,Australia,3,1,2,6,17,126,59,3,17,0,18,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1.0
77,1924,AUT,56,20,Austria,0,3,1,4,17,126,53,2,3,0,7,0,0,0,0,3,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,15,8,0.9464285714285714
78,1924,BEL,228,10,Belgium,3,7,3,13,17,126,219,20,20,0,21,0,0,0,0,10,0,0,0,0,18,19,29,0,11,0,0,0,0,0,0,0,4,0,0,0,17,0,9,27,0,0,0,0,0,18,0,0,0,0,8,17,0.9605263157894737
79,1924,CAN,83,20,Canada,0,3,1,4,17,126,83,5,3,0,40,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,9,0,0,0,0,0,0,0,0,0,0,0,5,1.0
80,1924,DEN,130,12,Denmark,2,5,2,9,17,126,114,11,14,0,19,0,0,0,0,8,0,0,0,0,12,1,28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,14,0,0,0,0,0,11,0,0,0,0,0,16,0.8769230769230769
81,1924,EST,47,17,Estonia,1,1,4,6,17,126,47,1,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,1.0
82,1924,FIN,252,2,Finland,14,13,10,37,17,126,252,11,8,0,84,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,72,0,0,0,0,0,3,0,0,0,0,0,1,43,0,0,0,0,0,8,0,0,0,0,0,24,1.0
83,1924,FRA,472,3,France,13,15,10,38,17,126,443,32,51,0,99,0,0,0,0,16,0,0,0,0,18,20,35,0,12,0,72,0,0,0,0,0,4,5,0,0,26,19,9,31,0,0,0,0,0,17,0,0,0,0,14,24,0.9385593220338984
84,1924,GBR,412,4,Great Britain,9,13,12,34,17,126,376,28,56,0,87,0,0,0,0,16,0,0,0,0,18,16,33,0,0,0,72,0,0,0,0,0,4,4,0,0,21,0,6,35,0,0,0,0,0,20,0,0,0,0,10,14,0.912621359223301
85,1924,HAI,16,23,Haiti,0,0,1,1,17,126,16,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1.0
86,1924,HUN,138,13,Hungary,2,3,4,9,17,126,134,14,14,0,26,0,0,0,0,1,0,0,0,0,6,0,19,0,11,0,0,0,0,0,0,0,0,0,0,0,7,0,0,31,0,0,0,0,0,11,0,0,0,0,0,12,0.9710144927536232
87,1924,ITA,323,5,Italy,8,3,5,16,17,126,317,24,15,0,55,0,0,0,0,16,0,0,0,0,17,16,28,0,13,0,72,0,0,0,0,0,4,0,0,0,17,0,3,24,0,0,0,0,0,11,0,0,0,0,15,17,0.9814241486068112
88,1924,JPN,37,23,Japan,0,0,1,1,17,126,37,2,14,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,1.0
89,1924,NED,214,9,Netherlands,4,1,5,10,17,126,199,19,33,0,35,0,0,0,0,9,0,0,0,0,18,9,31,0,19,0,0,0,0,0,0,0,4,0,0,0,17,0,4,13,0,0,0,0,0,11,0,0,0,0,3,8,0.9299065420560748
90,1924,NOR,101,7,Norway,5,2,3,10,17,126,97,10,1,0,12,0,0,0,0,9,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,39,0,0,0,0,0,10,0,0,0,0,0,7,0.9603960396039604
91,1924,POL,100,22,Poland,0,1,1,2,17,126,99,9,0,0,24,0,0,0,0,5,0,0,0,0,16,16,6,0,11,0,0,0,0,0,0,0,0,0,0,0,6,0,1,13,0,0,0,0,0,0,0,0,0,0,0,2,0.99
92,1924,POR,47,23,Portugal,0,0,1,1,17,126,47,3,1,0,4,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,1,0,0,0,0,1,0,1.0
93,1924,ROU,45,23,Romania,0,0,1,1,17,126,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,16,0,13,0,0,0,0,0,5,0,0,0,0,0,0,1.0
94,1924,RSA,42,18,South Africa,1,1,1,3,17,126,42,3,0,0,20,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,6,0,0,0,0,0,0,1.0
95,1924,SUI,246,6,Switzerland,7,8,10,25,17,126,242,16,10,0,27,0,0,0,0,7,0,0,0,0,13,20,23,0,15,0,72,0,0,0,0,0,0,0,0,0,16,0,1,13,0,0,0,0,0,8,0,0,0,0,9,12,0.983739837398374
96,1924,SWE,256,8,Sweden,4,13,12,29,17,126,230,20,51,0,57,0,0,0,0,5,0,0,0,0,8,20,12,0,18,0,0,0,0,0,0,0,4,0,0,0,0,0,4,42,0,0,0,0,0,12,0,0,0,0,5,18,0.8984375
97,1924,TCH,239,15,Czechoslovakia,1,4,5,10,17,126,235,14,27,0,23,0,0,0,0,0,0,0,0,0,15,18,10,0,19,0,62,0,0,0,0,0,2,0,0,0,0,0,1,39,0,0,0,0,0,8,0,0,0,0,6,9,0.9832635983263598
98,1924,URU,39,19,Uruguay,1,0,0,1,17,126,39,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,20,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
99,1924,USA,457,1,United States,45,27,27,99,17,126,423,28,58,0,112,0,0,0,0,16,0,0,0,0,11,16,35,0,13,0,72,0,0,0,0,0,4,4,0,0,20,19,0,43,0,0,0,0,0,20,0,0,0,0,0,14,0.925601750547046
100,1924,YUG,110,14,Yugoslavia,2,0,0,2,17,126,110,4,9,0,6,0,0,0,0,0,0,0,0,0,8,1,0,0,11,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1.0
101,1928,ARG,98,12,Argentina,3,3,1,7,14,109,98,8,15,0,12,0,0,0,0,8,0,0,0,0,10,6,9,0,16,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,3,5,1.0
102,1928,AUT,64,18,Austria,2,0,1,3,14,109,59,5,6,0,7,0,0,0,0,1,0,0,0,0,4,6,9,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,10,2,0.921875
103,1928,BEL,222,29,Belgium,0,1,2,3,14,109,207,21,18,0,53,0,0,0,0,6,0,0,0,0,14,18,29,18,14,0,0,0,0,0,0,0,3,0,0,0,22,0,6,0,0,0,0,0,0,0,0,0,0,0,8,13,0.9324324324324325
