Country,Year,Sport,Gold,Silver,Bronze,Total_medal,athlete_count,female_count,male_count,participated_team_events_count
Albania,1996,Shooting,0,0,0,0,4,4,0,0
Albania,1996,Weightlifting,0,0,0,0,1,0,1,0
Albania,1996,Wrestling,0,0,0,0,1,0,1,0
Albania,2000,Athletics,0,0,0,0,2,1,1,0
Albania,2000,Shooting,0,0,0,0,2,2,0,0
Albania,2000,Weightlifting,0,0,0,0,1,0,1,0
Albania,2004,Athletics,0,0,0,0,2,1,1,0
Albania,2004,Swimming,0,0,0,0,2,1,1,1
Albania,2004,Weightlifting,0,0,0,0,2,0,2,0
Albania,2004,Wrestling,0,0,0,0,1,0,1,0
Albania,2008,Athletics,0,0,0,0,2,1,1,0
Albania,2008,Judo,0,0,0,0,1,0,1,0
Albania,2008,Shooting,0,0,0,0,2,2,0,0
Albania,2008,Swimming,0,0,0,0,2,1,1,1
Albania,2008,Weightlifting,0,0,0,0,3,1,2,0
Albania,2008,Wrestling,0,0,0,0,2,0,2,0
Albania,2012,Athletics,0,0,0,0,1,0,1,0
Albania,2012,Judo,0,0,0,0,1,1,0,0
Albania,2012,Shooting,0,0,0,0,2,0,2,0
Albania,2012,Swimming,0,0,0,0,2,1,1,0
Albania,2012,Weightlifting,0,0,0,0,4,1,3,0
Albania,2016,Athletics,0,0,0,0,2,1,1,0
Albania,2016,Swimming,0,0,0,0,2,1,1,2
Albania,2016,Weightlifting,0,0,0,0,2,1,1,0
Albania,2020,Artistic Gymnastics,0,0,0,0,1,0,1,0
Albania,2020,Athletics,0,0,0,0,2,1,1,0
Albania,2020,Judo,0,0,0,0,1,0,1,0
Albania,2020,Shooting,0,0,0,0,2,2,0,0
Albania,2020,Swimming,0,0,0,0,2,1,1,0
Albania,2020,Weightlifting,0,0,0,0,2,0,2,0
Albania,2024,Athletics,0,0,0,0,2,1,1,0
Albania,2024,Shooting,0,0,0,0,2,2,0,0
Albania,2024,Swimming,0,0,0,0,2,1,1,0
Albania,2024,Wrestling,0,0,2,2,3,0,3,0
Algeria,1964,Gymnastics,0,0,0,0,7,0,7,3
Algeria,1968,Boxing,0,0,0,0,2,0,2,0
Algeria,1968,Gymnastics,0,0,0,0,7,0,7,3
Algeria,1972,Athletics,0,0,0,0,6,0,6,0
Algeria,1972,Boxing,0,0,0,0,1,0,1,0
Algeria,1980,Athletics,0,0,0,0,13,0,13,0
Algeria,1980,Boxing,0,0,0,0,2,0,2,0
Algeria,1980,Fencing,0,0,0,0,1,0,1,0
Algeria,1980,Football,0,0,0,0,14,0,14,1
Algeria,1980,Handball,0,0,0,0,14,0,14,1
Algeria,1980,Judo,0,0,0,0,3,0,3,0
Algeria,1980,Swimming,0,0,0,0,10,0,10,1
Algeria,1980,Weightlifting,0,0,0,0,3,0,3,0
Algeria,1980,Wrestling,0,0,0,0,3,0,3,0
Algeria,1984,Athletics,0,0,0,0,9,0,9,0
Algeria,1984,Boxing,0,0,2,2,7,0,7,0
Algeria,1984,Handball,0,0,0,0,15,0,15,1
Algeria,1984,Weightlifting,0,0,0,0,2,0,2,0
Algeria,1988,Athletics,0,0,0,0,15,2,13,0
Algeria,1988,Boxing,0,0,0,0,6,0,6,0
Algeria,1988,Cycling,0,0,0,0,2,0,2,0
Algeria,1988,Handball,0,0,0,0,14,0,14,1
Algeria,1988,Judo,0,0,0,0,5,0,5,0
Algeria,1988,Tennis,0,0,0,0,1,1,0,0
Algeria,1988,Weightlifting,0,0,0,0,2,0,2,0
Algeria,1992,Athletics,1,0,0,1,9,1,8,0
Algeria,1992,Boxing,0,0,1,1,8,0,8,0
Algeria,1992,Judo,0,0,0,0,3,1,2,0
Algeria,1992,Swimming,0,0,0,0,2,0,2,0
Algeria,1992,Volleyball,0,0,0,0,10,0,10,1
Algeria,1992,Weightlifting,0,0,0,0,2,0,2,0
Algeria,1992,Wrestling,0,0,0,0,2,0,2,0
Algeria,1996,Athletics,1,0,0,1,8,2,6,0
Algeria,1996,Boxing,1,0,1,2,6,0,6,0
Algeria,1996,Fencing,0,0,0,0,2,1,1,0
Algeria,1996,Handball,0,0,0,0,16,0,16,1
Algeria,1996,Judo,0,0,0,0,6,2,4,0
Algeria,1996,Rowing,0,0,0,0,1,1,0,0
Algeria,1996,Swimming,0,0,0,0,3,0,3,1
Algeria,1996,Weightlifting,0,0,0,0,3,0,3,0
Algeria,1996,Wrestling,0,0,0,0,2,0,2,0
Algeria,2000,Athletics,1,1,2,4,23,5,18,1
Algeria,2000,Boxing,0,0,1,1,7,0,7,0
Algeria,2000,Fencing,0,0,0,0,2,2,0,0
Algeria,2000,Judo,0,0,0,0,7,1,6,0
Algeria,2000,Rowing,0,0,0,0,2,1,1,0
Algeria,2000,Swimming,0,0,0,0,4,0,4,1
Algeria,2000,Table Tennis,0,0,0,0,2,0,2,1
Algeria,2000,Trampolining,0,0,0,0,1,0,1,0
Algeria,2000,Weightlifting,0,0,0,0,1,1,0,0
Algeria,2000,Wrestling,0,0,0,0,2,0,2,0
Algeria,2004,Athletics,0,0,0,0,21,5,16,0
Algeria,2004,Boxing,0,0,0,0,7,0,7,0
Algeria,2004,Fencing,0,0,0,0,10,2,8,1
Algeria,2004,Judo,0,0,0,0,11,4,7,0
Algeria,2004,Rowing,0,0,0,0,1,0,1,0
Algeria,2004,Swimming,0,0,0,0,10,1,9,1
Algeria,2004,Table Tennis,0,0,0,0,7,4,3,2
Algeria,2004,Tennis,0,0,0,0,1,0,1,0
Algeria,2004,Weightlifting,0,0,0,0,2,1,1,0
Algeria,2004,Wrestling,0,0,0,0,1,0,1,0
Algeria,2008,Athletics,0,0,0,0,12,4,8,0
Algeria,2008,Badminton,0,0,0,0,1,0,1,0
Algeria,2008,Boxing,0,0,0,0,7,0,7,0
Algeria,2008,Cycling,0,0,0,0,1,0,1,0
Algeria,2008,Fencing,0,0,0,0,2,2,0,0
Algeria,2008,Judo,0,1,1,2,10,5,5,0
Algeria,2008,Rowing,0,0,0,0,3,0,3,1
Algeria,2008,Swimming,0,0,0,0,6,0,6,1
Algeria,2008,Table Tennis,0,0,0,0,1,0,1,0
Algeria,2008,Volleyball,0,0,0,0,10,10,0,1
Algeria,2008,Weightlifting,0,0,0,0,1,1,0,0
Algeria,2008,Wrestling,0,0,0,0,3,0,3,0
Algeria,2012,Athletics,1,0,0,1,7,1,6,0
Algeria,2012,Boxing,0,0,0,0,8,0,8,0
Algeria,2012,Cycling,0,0,0,0,1,0,1,0
Algeria,2012,Fencing,0,0,0,0,2,2,0,0
Algeria,2012,Judo,0,0,0,0,2,2,0,0
Algeria,2012,Rowing,0,0,0,0,1,1,0,0
Algeria,2012,Shooting,0,0,0,0,1,0,1,0
Algeria,2012,Swimming,0,0,0,0,1,0,1,0
Algeria,2012,Taekwondo,0,0,0,0,1,0,1,0
Algeria,2012,Volleyball,0,0,0,0,11,11,0,1
Algeria,2012,Weightlifting,0,0,0,0,1,0,1,0
Algeria,2012,Wrestling,0,0,0,0,3,0,3,0
Algeria,2016,Athletics,0,2,0,2,16,3,13,0
Algeria,2016,Boxing,0,0,0,0,8,0,8,0
Algeria,2016,Cycling,0,0,0,0,2,0,2,0
Algeria,2016,Fencing,0,0,0,0,2,1,1,0
Algeria,2016,Football,0,0,0,0,18,0,18,1
Algeria,2016,Gymnastics,0,0,0,0,10,4,6,3
Algeria,2016,Judo,0,0,0,0,5,1,4,0
Algeria,2016,Rowing,0,0,0,0,2,1,1,0
Algeria,2016,Sailing,0,0,0,0,3,2,1,0
Algeria,2016,Shooting,0,0,0,0,1,0,1,0
Algeria,2016,Swimming,0,0,0,0,2,0,2,1
Algeria,2016,Weightlifting,0,0,0,0,2,1,1,0
Algeria,2016,Wrestling,0,0,0,0,3,0,3,0
Algeria,2020,Athletics,0,0,0,0,5,1,4,0
Algeria,2020,Boxing,0,0,0,0,8,3,5,0
Algeria,2020,Canoe Sprint,0,0,0,0,2,2,0,0
Algeria,2020,Cycling Road,0,0,0,0,3,0,3,0
Algeria,2020,Fencing,0,0,0,0,4,2,2,0
Algeria,2020,Judo,0,0,0,0,2,1,1,0
Algeria,2020,Karate,0,0,0,0,1,1,0,0
Algeria,2020,Marathon Swimming,0,0,0,0,1,1,0,0
Algeria,2020,Rowing,0,0,0,0,2,0,2,1
Algeria,2020,Sailing,0,0,0,0,2,1,1,0
Algeria,2020,Shooting,0,0,0,0,1,1,0,0
Algeria,2020,Swimming,0,0,0,0,4,2,2,0
Algeria,2020,Table Tennis,0,0,0,0,1,0,1,0
Algeria,2020,Weightlifting,0,0,0,0,1,0,1,0
Algeria,2020,Wrestling,0,0,0,0,8,0,8,0
Algeria,2024,Artistic Gymnastics,1,0,0,1,6,6,0,1
Algeria,2024,Athletics,0,0,1,1,8,1,7,0
Algeria,2024,Badminton,0,0,0,0,2,1,1,1
Algeria,2024,Boxing,1,0,0,1,5,3,2,0
Algeria,2024,Canoe Slalom,0,0,0,0,2,2,0,0
Algeria,2024,Cycling Road,0,0,0,0,2,1,1,0
Algeria,2024,Fencing,0,0,0,0,8,7,1,1
Algeria,2024,Judo,0,0,0,0,3,1,2,0
Algeria,2024,Rowing,0,0,0,0,2,1,1,0
Algeria,2024,Sailing,0,0,0,0,1,0,1,0
Algeria,2024,Shooting,0,0,0,0,3,1,2,0
Algeria,2024,Swimming,0,0,0,0,2,1,1,0
Algeria,2024,Table Tennis,0,0,0,0,2,1,1,0
Algeria,2024,Weightlifting,0,0,0,0,1,0,1,0
Algeria,2024,Wrestling,0,0,0,0,8,2,6,0
American Samoa,1988,Athletics,0,0,0,0,1,0,1,0
American Samoa,1988,Boxing,0,0,0,0,2,0,2,0
American Samoa,1988,Weightlifting,0,0,0,0,2,0,2,0
American Samoa,1988,Wrestling,0,0,0,0,1,0,1,0
American Samoa,1992,Boxing,0,0,0,0,2,0,2,0
American Samoa,1992,Weightlifting,0,0,0,0,1,0,1,0
American Samoa,1996,Athletics,0,0,0,0,2,1,1,0
American Samoa,1996,Boxing,0,0,0,0,1,0,1,0
American Samoa,1996,Sailing,0,0,0,0,2,0,2,1
American Samoa,1996,Weightlifting,0,0,0,0,1,0,1,0
American Samoa,1996,Wrestling,0,0,0,0,1,0,1,0
American Samoa,2000,Archery,0,0,0,0,1,0,1,0
American Samoa,2000,Athletics,0,0,0,0,2,1,1,0
American Samoa,2000,Weightlifting,0,0,0,0,1,0,1,0
American Samoa,2004,Athletics,0,0,0,0,2,1,1,0
American Samoa,2004,Weightlifting,0,0,0,0,1,0,1,0
American Samoa,2008,Athletics,0,0,0,0,1,0,1,0
American Samoa,2008,Judo,0,0,0,0,1,1,0,0
American Samoa,2008,Swimming,0,0,0,0,2,1,1,1
American Samoa,2012,Athletics,0,0,0,0,1,0,1,0
American Samoa,2012,Judo,0,0,0,0,1,0,1,0
American Samoa,2012,Swimming,0,0,0,0,2,1,1,2
American Samoa,2016,Athletics,0,0,0,0,2,1,1,0
American Samoa,2016,Judo,0,0,0,0,1,0,1,0
American Samoa,2016,Weightlifting,0,0,0,0,1,0,1,0
American Samoa,2020,Athletics,0,0,0,0,1,0,1,0
American Samoa,2020,Sailing,0,0,0,0,2,0,2,1
American Samoa,2020,Swimming,0,0,0,0,2,1,1,0
American Samoa,2020,Weightlifting,0,0,0,0,1,0,1,0
American Samoa,2024,Athletics,0,0,0,0,1,1,0,0
American Samoa,2024,Swimming,0,0,0,0,1,0,1,0
Andorra,1976,Boxing,0,0,0,0,1,0,1,0
Andorra,1976,Shooting,0,0,0,0,2,0,2,0
Andorra,1980,Shooting,0,0,0,0,2,0,2,0
Andorra,1984,Shooting,0,0,0,0,2,0,2,0
Andorra,1988,Athletics,0,0,0,0,2,0,2,0
Andorra,1988,Cycling,0,0,0,0,2,0,2,0
Andorra,1992,Athletics,0,0,0,0,1,1,0,0
Andorra,1992,Cycling,0,0,0,0,3,0,3,0
Andorra,1992,Judo,0,0,0,0,1,0,1,0
Andorra,1992,Sailing,0,0,0,0,2,0,2,1
Andorra,1992,Shooting,0,0,0,0,1,0,1,0
Andorra,1996,Athletics,0,0,0,0,1,0,1,0
Andorra,1996,Judo,0,0,0,0,1,0,1,0
Andorra,1996,Sailing,0,0,0,0,3,1,2,1
Andorra,1996,Shooting,0,0,0,0,1,0,1,0
Andorra,1996,Swimming,0,0,0,0,2,1,1,0
Andorra,2000,Athletics,0,0,0,0,2,1,1,0
Andorra,2000,Shooting,0,0,0,0,1,0,1,0
Andorra,2000,Swimming,0,0,0,0,2,1,1,0
Andorra,2004,Athletics,0,0,0,0,2,1,1,0
Andorra,2004,Judo,0,0,0,0,1,0,1,0
Andorra,2004,Shooting,0,0,0,0,1,0,1,0
Andorra,2004,Swimming,0,0,0,0,2,1,1,1
Andorra,2008,Athletics,0,0,0,0,2,1,1,0
Andorra,2008,Canoeing,0,0,0,0,1,1,0,0
Andorra,2008,Judo,0,0,0,0,1,0,1,0
Andorra,2008,Swimming,0,0,0,0,1,0,1,0
Andorra,2012,Athletics,0,0,0,0,2,1,1,0
Andorra,2012,Judo,0,0,0,0,1,0,1,0
Andorra,2012,Shooting,0,0,0,0,1,0,1,0
Andorra,2012,Swimming,0,0,0,0,2,1,1,0
Andorra,2016,Athletics,0,0,0,0,1,0,1,0
Andorra,2016,Judo,0,0,0,0,1,1,0,0
Andorra,2016,Shooting,0,0,0,0,1,1,0,0
Andorra,2016,Swimming,0,0,0,0,1,0,1,0
Andorra,2020,Athletics,0,0,0,0,1,0,1,0
Andorra,2020,Canoe Slalom,0,0,0,0,2,2,0,0
Andorra,2024,Athletics,0,0,0,0,1,0,1,0
Andorra,2024,Canoe Slalom,0,0,0,0,3,3,0,0
Angola,1980,Athletics,0,0,0,0,3,0,3,0
Angola,1980,Boxing,0,0,0,0,3,0,3,0
Angola,1980,Swimming,0,0,0,0,11,2,9,2
Angola,1988,Athletics,0,0,0,0,8,2,6,0
Angola,1988,Boxing,0,0,0,0,3,0,3,0
Angola,1988,Judo,0,0,0,0,7,0,7,0
Angola,1988,Swimming,0,0,0,0,15,9,6,2
Angola,1992,Athletics,0,0,0,0,7,2,5,0
Angola,1992,Basketball,0,0,0,0,12,0,12,1
Angola,1992,Boxing,0,0,0,0,1,0,1,0
Angola,1992,Judo,0,0,0,0,4,0,4,0
Angola,1992,Sailing,0,0,0,0,3,0,3,1
Angola,1992,Swimming,0,0,0,0,6,4,2,2
Angola,1996,Athletics,0,0,0,0,3,2,1,0
Angola,1996,Basketball,0,0,0,0,11,0,11,1
Angola,1996,Handball,0,0,0,0,13,13,0,1
Angola,1996,Shooting,0,0,0,0,1,0,1,0
Angola,1996,Swimming,0,0,0,0,2,2,0,0
Angola,2000,Athletics,0,0,0,0,2,1,1,0
Angola,2000,Basketball,0,0,0,0,12,0,12,1
Angola,2000,Handball,0,0,0,0,13,13,0,1
Angola,2000,Shooting,0,0,0,0,1,0,1,0
Angola,2000,Swimming,0,0,0,0,2,1,1,1
Angola,2004,Athletics,0,0,0,0,1,0,1,0
Angola,2004,Basketball,0,0,0,0,12,0,12,1
Angola,2004,Handball,0,0,0,0,15,15,0,1
Angola,2004,Judo,0,0,0,0,1,1,0,0
Angola,2004,Swimming,0,0,0,0,1,0,1,0
Angola,2008,Athletics,0,0,0,0,1,0,1,0
Angola,2008,Basketball,0,0,0,0,12,0,12,1
Angola,2008,Beach Volleyball,0,0,0,0,2,0,2,1
Angola,2008,Canoeing,0,0,0,0,2,0,2,0
Angola,2008,Handball,0,0,0,0,14,14,0,1
Angola,2008,Swimming,0,0,0,0,2,1,1,0
Angola,2012,Athletics,0,0,0,0,2,1,1,0
Angola,2012,Basketball,0,0,0,0,12,12,0,1
Angola,2012,Canoeing,0,0,0,0,4,0,4,1
Angola,2012,Handball,0,0,0,0,14,14,0,1
Angola,2012,Judo,0,0,0,0,1,1,0,0
Angola,2012,Swimming,0,0,0,0,2,1,1,0
Angola,2016,Athletics,0,0,0,0,2,1,1,0
Angola,2016,Handball,0,0,0,0,15,15,0,1
Angola,2016,Judo,0,0,0,0,1,1,0,0
Angola,2016,Rowing,0,0,0,0,2,0,2,1
Angola,2016,Sailing,0,0,0,0,3,0,3,1
Angola,2016,Shooting,0,0,0,0,1,0,1,0
Angola,2016,Swimming,0,0,0,0,2,1,1,1
Angola,2020,Athletics,0,0,0,0,1,0,1,0
Angola,2020,Handball,0,0,0,0,14,14,0,1
Angola,2020,Judo,0,0,0,0,1,1,0,0
Angola,2020,Sailing,0,0,0,0,2,0,2,1
Angola,2020,Swimming,0,0,0,0,2,1,1,0
Angola,2024,Athletics,0,0,0,0,1,0,1,0
Angola,2024,Canoe Sprint,0,0,0,0,3,0,3,1
Angola,2024,Handball,0,0,0,0,15,15,0,1
Angola,2024,Judo,0,0,0,0,1,0,1,0
Angola,2024,Rowing,0,0,0,0,1,0,1,0
Angola,2024,Sailing,0,0,0,0,3,1,2,1
Angola,2024,Swimming,0,0,0,0,2,1,1,0
Antigua,1976,Athletics,0,0,0,0,14,0,14,2
Antigua,1976,Cycling,0,0,0,0,3,0,3,0
Antigua,1984,Athletics,0,0,0,0,22,8,14,3
Antigua,1984,Cycling,0,0,0,0,4,0,4,0
Antigua,1984,Sailing,0,0,0,0,1,0,1,0
Antigua,1988,Athletics,0,0,0,0,19,4,15,2
Antigua,1988,Boxing,0,0,0,0,2,0,2,0
Antigua,1988,Cycling,0,0,0,0,3,0,3,0
Antigua,1988,Sailing,0,0,0,0,1,0,1,0
Antigua,1992,Athletics,0,0,0,0,7,3,4,0
Antigua,1992,Cycling,0,0,0,0,6,0,6,0
Antigua,1992,Sailing,0,0,0,0,5,2,3,1
Antigua,1996,Athletics,0,0,0,0,14,10,4,3
Antigua,1996,Canoeing,0,0,0,0,3,1,2,1
Antigua,1996,Cycling,0,0,0,0,1,0,1,0
Antigua,1996,Sailing,0,0,0,0,1,0,1,0
Antigua,2000,Athletics,0,0,0,0,3,2,1,0
Antigua,2000,Sailing,0,0,0,0,1,0,1,0
Antigua,2004,Athletics,0,0,0,0,3,1,2,0
Antigua,2004,Swimming,0,0,0,0,2,1,1,1
Antigua,2008,Athletics,0,0,0,0,4,1,3,0
Antigua,2008,Swimming,0,0,0,0,1,0,1,1
Antigua,2012,Athletics,0,0,0,0,3,1,2,0
Antigua,2012,Swimming,0,0,0,0,1,1,0,0
Antigua,2016,Athletics,0,0,0,0,7,1,6,1
Antigua,2016,Swimming,0,0,0,0,2,1,1,0
Antigua,2020,Athletics,0,0,0,0,2,1,1,0
Antigua,2020,Boxing,0,0,0,0,1,0,1,0
Antigua,2020,Sailing,0,0,0,0,1,1,0,0
Antigua,2020,Swimming,0,0,0,0,2,1,1,0
Antigua,2024,Athletics,0,0,0,0,2,1,1,0
Antigua,2024,Sailing,0,0,0,0,1,0,1,0
Antigua,2024,Swimming,0,0,0,0,2,1,1,0
Argentina,1900,Fencing,0,0,0,0,1,0,1,0
Argentina,1920,Boxing,0,0,0,0,1,0,1,0
Argentina,1924,Athletics,0,1,0,1,16,0,16,1
Argentina,1924,Boxing,0,2,2,4,10,0,10,0
Argentina,1924,Cycling,0,0,0,0,14,0,14,1
Argentina,1924,Fencing,0,0,0,0,24,0,24,3
Argentina,1924,Polo,1,0,0,1,5,0,5,1
Argentina,1924,Rowing,0,0,0,0,9,0,9,1
Argentina,1924,Sailing,0,0,0,0,6,0,6,1
Argentina,1924,Shooting,0,0,0,0,8,0,8,0
Argentina,1924,Swimming,0,0,0,0,6,0,6,1
Argentina,1924,Tennis,0,0,0,0,8,0,8,1
Argentina,1924,Weightlifting,0,0,0,0,3,0,3,0
Argentina,1928,Athletics,0,0,0,0,12,0,12,0
Argentina,1928,Boxing,2,2,0,4,8,0,8,0
Argentina,1928,Cycling,0,0,0,0,10,0,10,1
Argentina,1928,Equestrianism,0,0,0,0,6,0,6,1
Argentina,1928,Fencing,0,0,1,1,9,0,9,1
Argentina,1928,Football,0,1,0,1,16,0,16,1
Argentina,1928,Rowing,0,0,0,0,9,0,9,1
Argentina,1928,Sailing,0,0,0,0,5,0,5,1
Argentina,1928,Swimming,1,0,0,1,8,0,8,1
Argentina,1928,Water Polo,0,0,0,0,7,0,7,1
Argentina,1928,Weightlifting,0,0,0,0,3,0,3,0
Argentina,1928,Wrestling,0,0,0,0,5,0,5,0
Argentina,1932,Art Competitions,0,0,0,0,2,0,2,0
Argentina,1932,Athletics,1,0,0,1,18,0,18,0
Argentina,1932,Boxing,2,1,0,3,8,0,8,0
Argentina,1932,Fencing,0,0,0,0,9,0,9,1
Argentina,1932,Shooting,0,0,0,0,2,0,2,0
Argentina,1932,Swimming,0,0,0,0,7,0,7,1
Argentina,1932,Weightlifting,0,0,0,0,1,0,1,0
Argentina,1936,Athletics,0,0,0,0,17,0,17,1
Argentina,1936,Boxing,1,1,2,4,8,0,8,0
Argentina,1936,Fencing,0,0,0,0,19,0,19,2
Argentina,1936,Polo,1,0,0,1,4,0,4,1
Argentina,1936,Rowing,0,0,1,1,3,0,3,1
Argentina,1936,Sailing,0,0,0,0,11,0,11,2
Argentina,1936,Shooting,0,0,0,0,5,0,5,0
Argentina,1936,Swimming,0,1,0,1,1,1,0,1
Argentina,1948,Athletics,1,1,0,2,38,5,33,2
Argentina,1948,Basketball,0,0,0,0,14,0,14,1
Argentina,1948,Boxing,2,0,1,3,8,0,8,0
Argentina,1948,Cycling,0,0,0,0,16,0,16,3
Argentina,1948,Equestrianism,0,0,0,0,18,0,18,3
Argentina,1948,Fencing,0,0,0,0,28,3,25,3
Argentina,1948,Gymnastics,0,0,0,0,55,0,55,4
Argentina,1948,Hockey,0,0,0,0,12,0,12,1
Argentina,1948,Modern Pentathlon,0,0,0,0,3,0,3,0
Argentina,1948,Rowing,0,0,0,0,26,0,26,6
Argentina,1948,Sailing,0,1,0,1,13,0,13,3
Argentina,1948,Shooting,0,1,0,1,12,0,12,0
Argentina,1948,Swimming,0,0,0,0,29,12,17,3
Argentina,1948,Water Polo,0,0,0,0,7,0,7,1
Argentina,1948,Weightlifting,0,0,0,0,8,0,8,0
Argentina,1948,Wrestling,0,0,0,0,8,0,8,0
Argentina,1952,Athletics,0,1,0,1,30,15,15,2
Argentina,1952,Basketball,0,0,0,0,14,0,14,1
Argentina,1952,Boxing,0,1,1,2,10,0,10,0
Argentina,1952,Cycling,0,0,0,0,6,0,6,1
Argentina,1952,Equestrianism,0,0,0,0,12,0,12,2
Argentina,1952,Fencing,0,0,0,0,20,1,19,2
Argentina,1952,Gymnastics,0,0,0,0,14,0,14,3
Argentina,1952,Modern Pentathlon,0,0,0,0,6,0,6,1
Argentina,1952,Rowing,1,0,0,1,9,0,9,3
Argentina,1952,Sailing,0,0,0,0,14,0,14,4
Argentina,1952,Shooting,0,0,0,0,7,0,7,0
Argentina,1952,Swimming,0,0,0,0,13,2,11,2
Argentina,1952,Water Polo,0,0,0,0,7,0,7,1
Argentina,1952,Weightlifting,0,0,1,1,5,0,5,0
Argentina,1952,Wrestling,0,0,0,0,7,0,7,0
Argentina,1956,Athletics,0,0,0,0,2,1,1,0
Argentina,1956,Boxing,0,0,1,1,10,0,10,0
Argentina,1956,Equestrianism,0,0,0,0,13,0,13,2
Argentina,1956,Fencing,0,0,0,0,2,0,2,0
Argentina,1956,Modern Pentathlon,0,0,0,0,1,0,1,0
Argentina,1956,Sailing,0,0,0,0,6,0,6,2
Argentina,1956,Shooting,0,0,0,0,4,0,4,0
Argentina,1956,Weightlifting,0,1,0,1,2,0,2,0
Argentina,1956,Wrestling,0,0,0,0,4,0,4,0
Argentina,1960,Athletics,0,0,0,0,4,0,4,0
Argentina,1960,Boxing,0,0,1,1,10,0,10,0
Argentina,1960,Cycling,0,0,0,0,9,0,9,2
Argentina,1960,Diving,0,0,0,0,1,1,0,0
Argentina,1960,Equestrianism,0,0,0,0,15,0,15,2
Argentina,1960,Fencing,0,0,0,0,9,0,9,1
Argentina,1960,Football,0,0,0,0,13,0,13,1
Argentina,1960,Gymnastics,0,0,0,0,7,0,7,3
Argentina,1960,Modern Pentathlon,0,0,0,0,6,0,6,1
Argentina,1960,Rowing,0,0,0,0,9,0,9,3
Argentina,1960,Sailing,0,1,0,1,9,0,9,3
Argentina,1960,Shooting,0,0,0,0,9,0,9,0
Argentina,1960,Swimming,0,0,0,0,4,0,4,0
Argentina,1960,Water Polo,0,0,0,0,7,0,7,1
Argentina,1960,Wrestling,0,0,0,0,4,0,4,0
Argentina,1964,Athletics,0,0,0,0,12,8,4,1
Argentina,1964,Boxing,0,0,0,0,10,0,10,0
